"","year","region","pctPoverty","medianIncome"
"10520",2007,13073,6.8,68224
"10545",2007,13075,22.9,30607
"10570",2007,13077,10.1,58627
"10595",2007,13079,19.9,42626
"10620",2007,13081,25.8,30385
"10645",2007,13083,13.4,40654
"10670",2007,13085,9.1,56964
"10695",2007,13087,22.5,32650
"10720",2007,13089,14.4,51753
"10745",2007,13091,21.8,32393
"10770",2007,13093,26.7,30266
"10795",2007,13095,25.3,33073
"10820",2007,13097,10.5,55659
"10845",2007,13099,28.9,28703
"10870",2007,13101,27.1,32430
"10895",2007,13103,9.9,54132
"10920",2007,13105,16.9,33344
"10945",2007,13107,27,26223
"10970",2007,13109,23.1,34526
"10995",2007,13111,15.3,35710
"11020",2007,13113,5.3,79166
"11045",2007,13115,16.6,42685
"11070",2007,13117,5.2,85318
"11095",2007,13119,15.9,36616
"11120",2007,13121,14.2,58052
"11145",2007,13123,14.7,39902
"11170",2007,13125,16,36994
"11195",2007,13127,13.2,46260
"11220",2007,13129,14.3,42769
"11245",2007,13131,22.2,33060
"11270",2007,13133,20.9,38835
"11295",2007,13135,8.4,64005
"11320",2007,13137,14.4,41696
"11345",2007,13139,12,51764
"11370",2007,13141,26.8,27426
"11395",2007,13143,15.9,38722
"11420",2007,13145,9.4,61783
"11445",2007,13147,17.8,36667
"11470",2007,13149,16.4,42076
"11495",2007,13151,7.4,63395
"11520",2007,13153,11.3,52911
"11545",2007,13155,36.2,33902
"11570",2007,13157,12.2,49820
"11595",2007,13159,16.2,44695
"11620",2007,13161,20.8,32530
"11645",2007,13163,23.6,30967
"11670",2007,13165,25.4,28152
"11695",2007,13167,31.9,28310
"11720",2007,13169,12.2,50652
"11745",2007,13171,16.7,40923
"11770",2007,13173,20.3,34041
"11795",2007,13175,23,36092
"11820",2007,13177,9.6,55446
"11845",2007,13179,17.7,40993
"11870",2007,13181,18.2,36260
"11895",2007,13183,21.2,37334
"11920",2007,13185,20.5,38666
"11945",2007,13187,13.3,46582
"11970",2007,13189,19.4,36645
"11995",2007,13191,18.3,36026
"12020",2007,13193,28.3,27742
"12045",2007,13195,12.2,42627
"12070",2007,13197,21.1,34453
"12095",2007,13199,20.9,35093
"12120",2007,13201,21.4,31895
"12145",2007,13205,25.3,30732
"12170",2007,13207,11.4,50423
"12195",2007,13209,21.8,34961
"12220",2007,13211,13,47245
"12245",2007,13213,15.6,35817
"12270",2007,13215,18.6,41095
"12295",2007,13217,11.2,49995
"12320",2007,13219,7.1,70872
"12345",2007,13221,14.3,43514
"12370",2007,13223,6.9,59828
"12395",2007,13225,20.8,39506
"12420",2007,13227,11.3,50617
"12445",2007,13229,17.9,37173
"12470",2007,13231,11.1,51043
"12495",2007,13233,17.6,37814
"12520",2007,13235,18.3,39076
"12545",2007,13237,14.9,44128
"12570",2007,13239,23.6,28877
"12595",2007,13241,14,39188
"12620",2007,13243,25.6,26487
"12645",2007,13245,23.9,36944
"12670",2007,13247,11.3,55642
"12695",2007,13249,17.8,37613
"12720",2007,13251,20.6,32638
"12745",2007,13253,22,31094
