"","region","avgPov","avgIncome"
"2283",42065,13.2958333333333,35593.875
"2284",42067,9.90416666666667,40102.4583333333
"2285",42069,12.475,38719.1666666667
"2286",42071,9,50235.125
"2287",42073,13.7125,37373.25
"2288",42075,9.1375,46187.625
"2289",42077,10.55,48101.3333333333
"2290",42079,12.725,38313.4583333333
"2291",42081,12.9875,38803.5
"2292",42083,14.95,36803.4166666667
"2293",42085,13.3,38033.125
"2294",42087,13.8375,35681.5833333333
"2295",42089,9.9,49849.0833333333
"2296",42091,5.54166666666667,68464.9166666667
"2297",42093,9.85,44668.0833333333
"2298",42095,8.30416666666667,51984.75
"2299",42097,12.7208333333333,35840.5
"2300",42099,8.57083333333333,47430.9166666667
"2301",42101,23.4583333333333,33018.75
"2302",42103,8.45833333333333,50632.1666666667
"2303",42105,14.0083333333333,35766.6666666667
"2304",42107,11.575,37833.0833333333
"2305",42109,10.775,40560
"2306",42111,13.2208333333333,35547.5
"2307",42113,12.8958333333333,34375.2083333333
"2308",42115,12.4458333333333,39168.125
"2309",42117,13.925,37026.2916666667
"2310",42119,11.7625,43479.0416666667
"2311",42121,14.5083333333333,35642.6666666667
"2312",42123,11.9041666666667,38561.4166666667
"2313",42125,10.4791666666667,44589.1666666667
"2314",42127,12.0708333333333,39611.5416666667
"2315",42129,9.925,42997.2083333333
"2316",42131,10.9833333333333,42594.5416666667
"2317",42133,8.2625,50910.4166666667
"2318",44001,7.2125,58381.75
"2319",44003,7.64583333333333,54000.5416666667
"2320",44005,8.34166666666667,56846.7916666667
"2321",44007,15.2416666666667,41981.375
"2322",44009,7.58333333333333,60600.2916666667
"2323",45001,16.7541666666667,33208
"2324",45003,15.15,41697.25
"2325",45005,36.0625,23016.5
"2326",45007,13.9833333333333,38951.2083333333
"2327",45009,26.6958333333333,26704.1666666667
"2328",45011,22.3666666666667,30466.25
"2329",45013,12.1083333333333,49069.2083333333
"2330",45015,13.0166666666667,44895.2916666667
"2331",45017,17.6791666666667,35398.2083333333
"2332",45019,16.1666666666667,43496.0416666667
"2333",45021,17.3541666666667,34508.0416666667
"2334",45023,19.05,33064.5
"2335",45025,20.8125,31275.125
"2336",45027,25.2666666666667,28328.1666666667
"2337",45029,22.2125,30703.5833333333
"2338",45031,21.3291666666667,32744.625
"2339",45033,26.3041666666667,27221.125
"2340",45035,11.5583333333333,47656.25
"2341",45037,18.15,37453.375
"2342",45039,20.0333333333333,31695.2083333333
"2343",45041,18.7541666666667,36515.75
"2344",45043,18.1083333333333,37764.2916666667
"2345",45045,12.6625,44231.875
"2346",45047,16.9708333333333,35957.4166666667
"2347",45049,23.4083333333333,29884.0416666667
"2348",45051,15.725,37555.7916666667
"2349",45053,23.4916666666667,31689.6666666667
"2350",45055,14.0375,40832.0416666667
"2351",45057,15.725,38057.25
"2352",45059,17.5,34524.9583333333
"2353",45061,27.3958333333333,27228.2083333333
"2354",45063,11.1,48245.75
"2355",45065,19.5708333333333,33174.0416666667
"2356",45067,25.4541666666667,26871.0833333333
"2357",45069,25.7791666666667,27260.5833333333
"2358",45071,16.6375,35451.2916666667
"2359",45073,13.7625,39117.7916666667
"2360",45075,23.7708333333333,30295.2916666667
"2361",45077,14.275,38953.9166666667
"2362",45079,15.175,42732.3333333333
"2363",45081,17.4083333333333,35745
"2364",45083,14.2541666666667,39504.375
"2365",45085,19.0375,34694.8333333333
"2366",45087,17.0833333333333,32335.0833333333
"2367",45089,28.9083333333333,25781.875
"2368",45091,11.6875,47710.3333333333
"2369",46003,12.1833333333333,37006.2083333333
"2370",46005,12.7791666666667,37707.0416666667
"2371",46007,33.4958333333333,28546.125
"2372",46009,14.1833333333333,36255.4166666667
"2373",46011,12.9958333333333,42743.0416666667
"2374",46013,10.4291666666667,42500.5833333333
"2375",46015,13.8083333333333,37984.4583333333
"2376",46017,37.85,18697.0416666667
"2377",46019,14.7041666666667,34820
"2378",46021,11.8625,35050.7083333333
"2379",46023,23.6166666666667,31648.375
"2380",46025,13.3875,36813.125
"2381",46027,19.9875,34619.0416666667
"2382",46029,10.5166666666667,41905.125
"2383",46031,36.8,24832.0833333333
"2384",46033,11.2,41811.625
"2385",46035,12.125,39870.75
"2386",46037,15.4875,34459.0416666667
"2387",46039,10.4291666666667,39790.125
"2388",46041,29.2916666666667,28556.5416666667
"2389",46043,12.5208333333333,36941.4583333333
"2390",46045,11.4041666666667,41396.1666666667
"2391",46047,15.2166666666667,34022.0416666667
"2392",46049,12.6833333333333,36592.3333333333
"2393",46051,10.0791666666667,40979.8333333333
"2394",46053,18.7958333333333,29024.3333333333
"2395",46055,11.95,37259.3333333333
"2396",46057,10.8333333333333,41948.625
"2397",46059,11.0208333333333,38638.25
"2398",46061,9.95416666666667,45184
"2399",46063,13.125,36041.875
"2400",46065,9.86666666666667,49425.625
"2401",46067,12.3125,37517.125
"2402",46069,12.4583333333333,37368.5
"2403",46071,31.2125,27544.5416666667
"2404",46073,13.5666666666667,36258.625
"2405",46075,13.3625,35336.375
"2406",46077,9.98333333333333,39096.9166666667
"2407",46079,10.5375,42279.5
"2408",46081,12.8125,38591.1666666667
"2409",46083,4.72916666666667,62493.4166666667
"2410",46085,21.85,33090.625
"2411",46087,10.1125,42161.2083333333
"2412",46089,15.225,30039.0416666667
"2413",46091,12.7,37703.2916666667
"2414",46093,10.2666666666667,43798.1666666667
"2415",46095,33.2875,26502.9583333333
"2416",46097,12.6375,36065.1666666667
"2417",46099,9.57083333333333,47280.875
"2418",46101,10.3166666666667,43048.2916666667
"2419",46102,42.1333333333333,31629.3333333333
"2420",46103,13.4791666666667,42136.4166666667
"2421",46105,14.9083333333333,32936.25
"2422",46107,11.3041666666667,39011
"2423",46109,20.0291666666667,33566.875
"2424",46111,13.3166666666667,37838.5416666667
"2425",46113,44.9857142857143,22925.4285714286
"2426",46115,12.7291666666667,37577.0833333333
"2427",46117,9.2875,47368.375
"2428",46119,8.62916666666667,43263.75
"2429",46121,43.2583333333333,23261.875
"2430",46123,18.5541666666667,34172.6666666667
"2431",46125,9.6125,42598.0833333333
"2432",46127,7.1375,54651.625
"2433",46129,16.125,34070.8333333333
"2434",46135,11.8791666666667,40880.5416666667
"2435",46137,46.8208333333333,23298.9166666667
"2436",47001,15.0375,39906.2083333333
"2437",47003,15.5541666666667,37986.5
"2438",47005,18.5,30553.2916666667
"2439",47007,22.25,31077.8333333333
"2440",47009,12.1083333333333,41737.2083333333
"2441",47011,14.9583333333333,38098.5833333333
"2442",47013,23.3791666666667,28403.875
"2443",47015,15.0833333333333,36356.0416666667
"2444",47017,17.4333333333333,33034.9166666667
"2445",47019,19.9375,30279.75
"2446",47021,10.3708333333333,48343.3333333333
"2447",47023,17.1166666666667,36015.3333333333
"2448",47025,22.0625,28818.375
"2449",47027,21.7416666666667,26370.1666666667
"2450",47029,23.375,27562.0416666667
"2451",47031,15.6333333333333,38036.875
"2452",47033,17.5583333333333,32952.5
"2453",47035,16.2125,33822.2083333333
"2454",47037,15.5083333333333,42977.8333333333
"2455",47039,18.2333333333333,31446.6666666667
"2456",47041,18.075,33501.0833333333
"2457",47043,13.2541666666667,40817.8333333333
"2458",47045,17.5916666666667,35671.2083333333
"2459",47047,14.7666666666667,45161.7083333333
"2460",47049,24.825,25862.3333333333
"2461",47051,14.675,38265.75
"2462",47053,16.2375,33579.625
"2463",47055,15.15,36384.8333333333
"2464",47057,18.7291666666667,31409.5416666667
"2465",47059,17.4625,32630.625
"2466",47061,25.5083333333333,25970.6666666667
"2467",47063,16.4333333333333,35439.625
"2468",47065,14.3875,41372.9166666667
"2469",47067,30.7291666666667,22214.0416666667
"2470",47069,22.7125,30595.8333333333
"2471",47071,20.8041666666667,30463.7916666667
"2472",47073,17.1333333333333,34237.3333333333
"2473",47075,21.65,29809.6666666667
"2474",47077,15.6916666666667,35168.4583333333
"2475",47079,17.2166666666667,32446.0416666667
"2476",47081,17.7333333333333,33955.2083333333
"2477",47083,17.4375,32761.375
"2478",47085,14.2791666666667,37451.9583333333
"2479",47087,20.4541666666667,29231.5416666667
"2480",47089,15.8541666666667,35658.5833333333
"2481",47091,24.3583333333333,26675.375
"2482",47093,13.7958333333333,42362
"2483",47095,35.6,24585.4166666667
"2484",47097,22.625,30299.0416666667
"2485",47099,16.3291666666667,33290.1666666667
"2486",47101,18.3208333333333,31378.3333333333
"2487",47103,14.8333333333333,37121.4583333333
"2488",47105,12.0083333333333,44627.5833333333
"2489",47107,16.725,34919.9166666667
"2490",47109,18.9041666666667,31736
"2491",47111,18.1166666666667,32039.2916666667
"2492",47113,17.0041666666667,38187.4166666667
"2493",47115,16.6375,35169.75
"2494",47117,12.9416666666667,39312.4166666667
"2495",47119,12.8708333333333,42976.9583333333
"2496",47121,18.8916666666667,33187.5416666667
"2497",47123,17.975,33272.1666666667
"2498",47125,12.9458333333333,43518.0833333333
"2499",47127,11.0958333333333,43121.2916666667
"2500",47129,20.4958333333333,31851.7916666667
