"","region","avgLength"
"349","016087",2075.66666666667
"350","016340",2082
"351","016450",1196
"352","017001",3847
"353","017003",3868.875
"354","017005",3254.33333333333
"355","017007",3160.2
"356","017009",4023.5
"357","017011",3731.83333333333
"358","017013",4218.4
"359","017015",3192.75
"360","017017",4465.22222222222
"361","017019",3554.875
"362","017021",3826.25
"363","017023",3476.66666666667
"364","017025",3244
"365","017027",3244
"366","017029",3476.66666666667
"367","017031",4285.5
"368","017033",3769.5
"369","017035",3769.5
"370","017037",2989
"371","017039",4023
"372","017041",3709
"373","017043",4145
"374","017045",3388
"375","017047",3273
"376","017049",3712
"377","017051",2901
"378","017053",3979.2
"379","017055",3226.8
"380","017057",4035.5
"381","017059",3215.57142857143
"382","017061",4088.3
"383","017063",3651.57142857143
"384","017065",3436.71428571429
"385","017067",3847
"386","017069",2963.4
"387","017071",4370.5
"388","017073",3962.14285714286
"389","017075",3865.85714285714
"390","017077",3899.71428571429
"391","017079",3563
"392","017081",3244
"393","017083",4136.85714285714
"394","017085",3355.5
"395","017087",2789.5
"396","017089",3799.57142857143
"397","017091",3909.75
"398","017093",3587.57142857143
"399","017095",3763.6
"400","017097",3684.75
"401","017099",3432.8
"402","017101",3406.4
"403","017103",1924.5
"404","017105",3764.4
"405","017107",3666.2
"406","017109",3520
"407","017111",3557.16666666667
"408","017113",3804.2
"409","017115",3602.8
"410","017117",3390
"411","017119",4216.71428571429
"412","017121",3414
"413","017123",3718.8
"414","017125",3953.625
"415","017127",3240.625
"416","017129",3860.28571428571
"417","017131",4295.8
"418","017133",4200.75
"419","017135",3390
"420","017137",4370
"421","017139",3788
"422","017141",3350.83333333333
"423","017143",3586.4
"424","017145",3712
"425","017147",3752.66666666667
"426","017149",3856.33333333333
"427","017151",3240.625
"428","017153",3837.42857142857
"429","017155",3101.5
"430","017157",3952
"431","017159",3509.8
"432","017161",3984.25
"433","017163",4200.75
"434","017165",3141.66666666667
"435","017167",3866.85714285714
"436","017169",4382.42857142857
"437","017171",3941.11111111111
"438","017173",3952.8
"439","017175",3533.75
"440","017177",3029
"441","017179",3087.66666666667
"442","017181",3525.125
"443","017183",3675.71428571429
"444","017185",3264.85714285714
"445","017187",4326.75
"446","017189",2776.33333333333
"447","017191",3250.4
"448","017193",3502.16666666667
"449","017195",3984.25
"450","017197",3494.77777777778
"451","017199",3226.8
"452","017201",3600.22222222222
"453","017203",3271.33333333333
"454","018",3245
"455","018001",2291.33333333333
"456","018003",2321.6
"457","018005",2380.33333333333
"458","018007",2375.41666666667
"459","018009",2446.27272727273
"460","018011",2476.8
"461","018013",2828.4
"462","018015",2487.18181818182
"463","018017",2329.11111111111
"464","018019",2932.18181818182
"465","018021",2507.81818181818
"466","018023",2409.33333333333
"467","018025",2855.58333333333
"468","018027",2895
"469","018029",2976
"470","018031",2608.125
"471","018033",2414.27272727273
"472","018035",2551.61538461538
"473","018037",2852.7
"474","018039",1985
"475","018041",2484.7
"476","018043",2871.11111111111
"477","018045",2387.57142857143
"478","018047",2865
"479","018049",2321.6
"480","018051",2851.61538461538
"481","018053",2582.5
"482","018055",2807.15384615385
"483","018057",2548.38461538462
"484","018059",2490.33333333333
"485","018061",2935.72727272727
"486","018063",2142.875
"487","018065",2490.33333333333
"488","018067",2354.4
"489","018069",2239.55555555556
"490","018071",2819.44444444444
"491","018073",2546.69230769231
"492","018075",2276.6
"493","018077",3001
"494","018079",2770.75
"495","018081",2433.4
"496","018083",2816.63636363636
"497","018085",2321.6
"498","018087",1122.5
"499","018089",2502.13333333333
"500","018091",2362.72727272727
"501","018093",2811.41666666667
"502","018095",2516.92857142857
"503","018097",2482.53846153846
"504","018099",2119.375
"505","018101",3103.6
"506","018103",2439.18181818182
"507","018105",2489.66666666667
"508","018107",2704.35714285714
"509","018109",2510.45454545455
"510","018111",2503.91666666667
"511","018113",2409.36363636364
"512","018115",2912.8
"513","018117",2781.18181818182
"514","018119",2670.91666666667
"515","018121",2384.54545454545
"516","018123",2961.5
"517","018125",2851.61538461538
"518","018127",2339.5
"519","018129",2962.81818181818
"520","018131",2238.1
"521","018133",2572.92307692308
"522","018135",2446.27272727273
"523","018137",3048.71428571429
"524","018139",2300.44444444444
"525","018141",2270.3
"526","018143",2858
"527","018145",2343.22222222222
"528","018147",2658
"529","018149",2004.375
"530","018151",1861.16666666667
"531","018153",2604.6
"532","018155",2951.36363636364
"533","018157",2630.77777777778
"534","018159",2482.5
"535","018161",2769.72727272727
"536","018163",2991.66666666667
"537","018165",2721.33333333333
"538","018167",2416.77777777778
"539","018169",1999.71428571429
"540","018171",2603.5
"541","018173",2855.09090909091
"542","018175",2871.5
"543","018177",2406.11111111111
"544","018179",2386.44444444444
"545","018181",2402.2
"546","018183",2321.9
"547","019001",2770.1
"548","019003",3186.44444444444
"549","019005",2409.125
"550","019007",2462.88888888889
"551","019009",2875.61538461538
"552","019011",2533.8
"553","019013",3274
"554","019015",3185.18181818182
"555","019017",3355.875
"556","019019",2812.57142857143
"557","019021",2647.18181818182
"558","019023",3003.75
"559","019025",2974.83333333333
"560","019027",3029.22222222222
"561","019029",2925.45454545455
"562","019031",2808.63636363636
"563","019033",3515.28571428571
"564","019035",2644.54545454545
"565","019037",3177.4
"566","019039",3102.33333333333
"567","019041",2583.81818181818
"568","019043",2880
"569","019045",2826.41666666667
"570","019047",2812.75
"571","019049",3242.33333333333
"572","019051",2462.88888888889
"573","019053",2791
"574","019055",2410.44444444444
"575","019057",2826.76923076923
"576","019059",2624.25
"577","019061",2435.5
"578","019063",3028.33333333333
"579","019065",3018.33333333333
"580","019067",2996
"581","019069",3141
"582","019071",3033
"583","019073",3178.54545454545
"584","019075",2415.125
"585","019077",2757.88888888889
"586","019079",3473.3
"587","019080",3112
"588","019081",3227
"589","019083",3170.8
"590","019085",2687.9
"591","019087",2522.6
"592","019089",2838.9
"593","019091",2726.7
"594","019093",2648.41666666667
"595","019095",2663.69230769231
"596","019097",2434.625
"597","019099",2834.66666666667
"598","019101",2515.83333333333
"599","019103",3029.15384615385
"600","019105",2851.53846153846
"601","019107",2777.4
"602","019109",3298.66666666667
"603","019111",2465.72727272727
"604","019113",3101.38461538462
"605","019115",2922.72727272727
"606","019117",2732.44444444444
"607","019119",2431.75
"608","019121",3264.41666666667
"609","019123",2803.18181818182
"610","019125",2788.33333333333
"611","019127",3054.66666666667
"612","019129",3056.44444444444
"613","019131",3228
"614","019133",2696.90909090909
"615","019135",2919.33333333333
"616","019137",2965.09090909091
"617","019139",2920.45454545455
"618","019141",2558.71428571429
"619","019143",2895
"620","019145",2842.5
"621","019147",2603.58333333333
